participant_id,trial_index,task,condition,trial_type,rt,response,time_elapsed,stimulus,plugin_version,experiment_id,consented,view_history,choice,rt_key_duration,word,is_word,correct,timed_out,question_order
560e5qxMVbhdEwmmbuPevb6nSXA3,0,consent,loss,html-button-response,4548,0,4553,"
      <div class=""consent"">
        <h2>Consent</h2>
        <p>By answering the following questions, you are participating in a study being performed by
        cognitive scientists in the Stanford Department of Psychology. If you have questions about
        this research, please contact us at <a href=""mailto:stanfordpsych251@gmail.com"">stanfordpsych251@gmail.com</a>.
        You must be at least 18 years old to participate. Your participation in this research is
        voluntary. You may decline to answer any or all of the following questions. You may decline
        further participation, at any time, without adverse consequences. Your anonymity is assured;
        the researchers who have requested your participation will not receive any personal
        information about you.</p>
      </div>",2.1.0,framing-demo,true,,,,,,,,
560e5qxMVbhdEwmmbuPevb6nSXA3,1,instructions,loss,instructions,2185,,6741,,2.1.0,framing-demo,,"[{""page_index"":0,""viewing_time"":1391},{""page_index"":1,""viewing_time"":794}]",,,,,,,
560e5qxMVbhdEwmmbuPevb6nSXA3,2,demographics,loss,survey,41552,"{""gender"":""Man"",""native_english"":true,""age"":34}",48325,,4.0.0,framing-demo,,,,,,,,,
560e5qxMVbhdEwmmbuPevb6nSXA3,3,framing,loss,html-button-response,1316,1,49642,"
      <div class=""framing"">
        <p>Imagine that the country is preparing for the outbreak of an unusual disease, which is
        expected to kill 600 people. Two alternative programs to combat the disease have been
        proposed. Assume that the exact scientific estimates of the consequences of the programs
        are as follows:</p>
        <ul class=""programs"">
          <li>If Program A is adopted, 400 people will die.</li>
          <li>If Program B is adopted, there is a one-third probability that nobody will die, and a two-thirds probability that 600 people will die.</li>
        </ul>
        <p>Which of the two programs would you favor?</p>
      </div>",2.1.0,framing-demo,,,risky,,,,,,
560e5qxMVbhdEwmmbuPevb6nSXA3,4,instructions,loss,instructions,943,,50587,,2.1.0,framing-demo,,"[{""page_index"":0,""viewing_time"":943}]",,,,,,,
560e5qxMVbhdEwmmbuPevb6nSXA3,5,fixation,loss,html-keyboard-response,,,51090,"<div class=""fixation"">+</div>",2.2.0,framing-demo,,,,,,,,,
560e5qxMVbhdEwmmbuPevb6nSXA3,6,lexical_decision,loss,html-keyboard-response,849,f,51941,"<div class=""stimulus"">GARDEN</div>",2.2.0,framing-demo,,,,,GARDEN,true,true,false,
560e5qxMVbhdEwmmbuPevb6nSXA3,7,fixation,loss,html-keyboard-response,,,52443,"<div class=""fixation"">+</div>",2.2.0,framing-demo,,,,,,,,,
560e5qxMVbhdEwmmbuPevb6nSXA3,8,lexical_decision,loss,html-keyboard-response,353,f,52798,"<div class=""stimulus"">BRENDLE</div>",2.2.0,framing-demo,,,,,BRENDLE,false,false,false,
560e5qxMVbhdEwmmbuPevb6nSXA3,9,fixation,loss,html-keyboard-response,,,53300,"<div class=""fixation"">+</div>",2.2.0,framing-demo,,,,,,,,,
560e5qxMVbhdEwmmbuPevb6nSXA3,10,lexical_decision,loss,html-keyboard-response,426,f,53728,"<div class=""stimulus"">SILVER</div>",2.2.0,framing-demo,,,,,SILVER,true,true,false,
560e5qxMVbhdEwmmbuPevb6nSXA3,11,fixation,loss,html-keyboard-response,,,54230,"<div class=""fixation"">+</div>",2.2.0,framing-demo,,,,,,,,,
560e5qxMVbhdEwmmbuPevb6nSXA3,12,lexical_decision,loss,html-keyboard-response,350,f,54582,"<div class=""stimulus"">TOSKIN</div>",2.2.0,framing-demo,,,,,TOSKIN,false,false,false,
560e5qxMVbhdEwmmbuPevb6nSXA3,13,fixation,loss,html-keyboard-response,,,55085,"<div class=""fixation"">+</div>",2.2.0,framing-demo,,,,,,,,,
560e5qxMVbhdEwmmbuPevb6nSXA3,14,lexical_decision,loss,html-keyboard-response,394,f,55481,"<div class=""stimulus"">TABLE</div>",2.2.0,framing-demo,,,,,TABLE,true,true,false,
560e5qxMVbhdEwmmbuPevb6nSXA3,15,fixation,loss,html-keyboard-response,,,55984,"<div class=""fixation"">+</div>",2.2.0,framing-demo,,,,,,,,,
560e5qxMVbhdEwmmbuPevb6nSXA3,16,lexical_decision,loss,html-keyboard-response,321,f,56307,"<div class=""stimulus"">PLANET</div>",2.2.0,framing-demo,,,,,PLANET,true,true,false,
560e5qxMVbhdEwmmbuPevb6nSXA3,17,fixation,loss,html-keyboard-response,,,56809,"<div class=""fixation"">+</div>",2.2.0,framing-demo,,,,,,,,,
560e5qxMVbhdEwmmbuPevb6nSXA3,18,lexical_decision,loss,html-keyboard-response,367,f,57177,"<div class=""stimulus"">MANTOR</div>",2.2.0,framing-demo,,,,,MANTOR,false,false,false,
560e5qxMVbhdEwmmbuPevb6nSXA3,19,fixation,loss,html-keyboard-response,,,57679,"<div class=""fixation"">+</div>",2.2.0,framing-demo,,,,,,,,,
560e5qxMVbhdEwmmbuPevb6nSXA3,20,lexical_decision,loss,html-keyboard-response,381,f,58063,"<div class=""stimulus"">FLIRP</div>",2.2.0,framing-demo,,,,,FLIRP,false,false,false,
560e5qxMVbhdEwmmbuPevb6nSXA3,21,feedback_likert,loss,survey-likert,3566,"{""instructions_clear"":4}",61632,,2.2.0,framing-demo,,,,,,,,,[0]
560e5qxMVbhdEwmmbuPevb6nSXA3,22,feedback_text,loss,survey-text,1913,"{""comments"":""sddfsdfsf""}",63551,,2.1.1,framing-demo,,,,,,,,,
560e5qxMVbhdEwmmbuPevb6nSXA3,23,debrief,loss,html-button-response,1089,0,64642,"
      <h2>Debrief</h2>
      <p>Thank you. In this study we tested whether describing the same outcomes as lives saved or
      as lives lost changes which program people choose. Different participants saw different
      wordings. If you have questions about this research, contact
      <a href=""mailto:stanfordpsych251@gmail.com"">stanfordpsych251@gmail.com</a>.
      Press the button to save your responses and finish.</p>",2.1.0,framing-demo,,,,,,,,,
