error_id,uid,at,message,trial_index,stack,context,url,user_agent,client_time
i5092LwPXBZPb4Na0XTn,wNjkDkPiiiWWcwdVo5IdjYH0Co13,2026-09-17T00:53:54.214Z,permission-denied on 'write chunk 0'. Are firebase/firestore.rules published to your project?,0,@https://psych251.github.io/qa-juliomartinez/src/save.js:313:28,"{""during"":""write chunk 0"",""kind"":""write-failure""}",https://psych251.github.io/qa-juliomartinez/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",2026-09-17T00:53:53.992Z
kVHXRlHeoV2ExUA15dIX,wNjkDkPiiiWWcwdVo5IdjYH0Co13,2026-09-17T00:53:55.782Z,permission-denied on 'write chunk 1'. Are firebase/firestore.rules published to your project?,1,@https://psych251.github.io/qa-juliomartinez/src/save.js:313:28,"{""during"":""write chunk 1"",""kind"":""write-failure""}",https://psych251.github.io/qa-juliomartinez/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",2026-09-17T00:53:55.570Z
jsRwL7xNjbVaQNfB1Rdk,wNjkDkPiiiWWcwdVo5IdjYH0Co13,2026-09-17T00:54:02.511Z,permission-denied on 'write chunk 2'. Are firebase/firestore.rules published to your project?,2,@https://psych251.github.io/qa-juliomartinez/src/save.js:313:28,"{""during"":""write chunk 2"",""kind"":""write-failure""}",https://psych251.github.io/qa-juliomartinez/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",2026-09-17T00:54:02.274Z
HY2IJVbGqj3JpTvOVZlM,wNjkDkPiiiWWcwdVo5IdjYH0Co13,2026-09-17T00:54:03.723Z,permission-denied on 'write chunk 3'. Are firebase/firestore.rules published to your project?,3,@https://psych251.github.io/qa-juliomartinez/src/save.js:313:28,"{""during"":""write chunk 3"",""kind"":""write-failure""}",https://psych251.github.io/qa-juliomartinez/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",2026-09-17T00:54:03.502Z
S5Mrx0x5FTBAD0Q7JzPi,wNjkDkPiiiWWcwdVo5IdjYH0Co13,2026-09-17T00:54:04.697Z,permission-denied on 'write chunk 4'. Are firebase/firestore.rules published to your project?,4,@https://psych251.github.io/qa-juliomartinez/src/save.js:313:28,"{""during"":""write chunk 4"",""kind"":""write-failure""}",https://psych251.github.io/qa-juliomartinez/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",2026-09-17T00:54:04.467Z
sW8A9TFMGa5CRdNcPOu3,wNjkDkPiiiWWcwdVo5IdjYH0Co13,2026-09-17T00:54:05.358Z,permission-denied on 'write chunk 5'. Are firebase/firestore.rules published to your project?,5,@https://psych251.github.io/qa-juliomartinez/src/save.js:313:28,"{""during"":""write chunk 5"",""kind"":""write-failure""}",https://psych251.github.io/qa-juliomartinez/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",2026-09-17T00:54:04.940Z
XvSiedy1JiG678WfnkcJ,wNjkDkPiiiWWcwdVo5IdjYH0Co13,2026-09-17T00:54:06.102Z,permission-denied on 'write chunk 6'. Are firebase/firestore.rules published to your project?,6,@https://psych251.github.io/qa-juliomartinez/src/save.js:313:28,"{""during"":""write chunk 6"",""kind"":""write-failure""}",https://psych251.github.io/qa-juliomartinez/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",2026-09-17T00:54:05.880Z
rPzvW0jjFZPerZoD8DZS,wNjkDkPiiiWWcwdVo5IdjYH0Co13,2026-09-17T00:54:06.619Z,permission-denied on 'write chunk 7'. Are firebase/firestore.rules published to your project?,7,@https://psych251.github.io/qa-juliomartinez/src/save.js:313:28,"{""during"":""write chunk 7"",""kind"":""write-failure""}",https://psych251.github.io/qa-juliomartinez/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",2026-09-17T00:54:06.397Z
CuD87BKDAciBv9a8D8oy,wNjkDkPiiiWWcwdVo5IdjYH0Co13,2026-09-17T00:54:07.055Z,permission-denied on 'write chunk 8'. Are firebase/firestore.rules published to your project?,8,@https://psych251.github.io/qa-juliomartinez/src/save.js:313:28,"{""during"":""write chunk 8"",""kind"":""write-failure""}",https://psych251.github.io/qa-juliomartinez/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",2026-09-17T00:54:06.670Z
3Lfg5iIjwSwXBW86oxot,wNjkDkPiiiWWcwdVo5IdjYH0Co13,2026-09-17T00:54:07.349Z,permission-denied on 'write chunk 9'. Are firebase/firestore.rules published to your project?,9,@https://psych251.github.io/qa-juliomartinez/src/save.js:313:28,"{""during"":""write chunk 9"",""kind"":""write-failure""}",https://psych251.github.io/qa-juliomartinez/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",2026-09-17T00:54:07.133Z
